PRISM Time Series Data
Location:  Lat: 40.2888   Lon: -105.6615   Elev: 11122ft
"Climate variables: tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1895-08 - 2018-08
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Sep-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
1961-10,20.9,32.5,44.2
1961-11,7.3,18.5,29.8
1961-12,2.5,11.4,20.3
1962-01,-3.2,8.6,20.5
1962-02,7.9,17.7,27.4
1962-03,3.7,15.9,28.1
1962-04,16.9,30.1,43.2
1962-05,24.4,36.9,49.4
1962-06,29.3,42.3,55.2
1962-07,33.9,48.4,62.8
1962-08,33.1,48.8,64.5
1962-09,30.5,43.2,56.0
1962-10,24.5,36.6,48.7
1962-11,14.9,26.4,37.8
1962-12,10.0,19.8,29.5
1963-01,-5.2,6.3,17.8
1963-02,8.9,19.0,29.1
1963-03,6.8,18.7,30.6
1963-04,16.7,29.2,41.7
1963-05,24.9,38.8,52.7
1963-06,31.6,44.9,58.2
1963-07,38.5,52.5,66.5
1963-08,38.1,48.7,59.4
1963-09,34.1,46.1,58.2
1963-10,27.8,39.8,51.8
1963-11,13.7,25.0,36.4
1963-12,4.3,14.0,23.7
1964-01,-0.2,9.7,19.6
1964-02,-3.4,6.9,17.2
1964-03,1.4,12.5,23.6
1964-04,13.6,25.1,36.6
1964-05,23.6,36.5,49.4
1964-06,29.1,41.7,54.2
1964-07,38.9,53.0,67.0
1964-08,34.2,47.5,60.7
1964-09,28.9,42.1,55.4
1964-10,23.7,35.8,48.0
1964-11,11.3,21.1,30.8
1964-12,4.5,13.6,22.7
1965-01,6.9,15.7,24.5
1965-02,1.8,12.8,23.8
1965-03,-1.1,10.4,21.9
1965-04,16.2,27.8,39.4
1965-05,21.3,33.7,46.0
1965-06,29.0,41.3,53.5
1965-07,35.4,49.0,62.5
1965-08,33.0,45.9,58.7
1965-09,26.4,36.6,46.7
1965-10,24.0,36.7,49.4
1965-11,16.4,25.4,34.4
1965-12,8.5,18.8,29.1
1966-01,0.3,10.3,20.4
1966-02,-2.1,8.8,19.7
1966-03,8.1,21.1,34.1
1966-04,13.2,26.4,39.6
1966-05,24.4,38.2,52.0
1966-06,30.8,43.9,57.0
1966-07,39.8,53.3,66.8
1966-08,35.2,48.4,61.5
1966-09,31.4,43.6,55.7
1966-10,20.3,32.5,44.6
1966-11,14.7,24.7,34.7
1966-12,3.0,13.5,23.9
1967-01,4.9,13.4,21.8
1967-02,2.2,12.6,22.9
1967-03,12.3,23.8,35.4
1967-04,14.9,28.2,41.5
1967-05,21.2,32.5,43.8
1967-06,28.8,39.8,50.9
1967-07,36.9,49.2,61.5
1967-08,34.8,47.2,59.6
1967-09,29.6,41.5,53.5
1967-10,22.5,34.8,47.1
1967-11,11.4,21.8,32.3
1967-12,-0.1,9.8,19.7
1968-01,5.1,15.5,25.9
1968-02,6.3,16.2,26.1
1968-03,7.6,20.0,32.3
1968-04,10.7,22.7,34.8
1968-05,20.7,32.5,44.3
1968-06,31.4,45.5,59.6
1968-07,36.4,49.4,62.3
1968-08,34.2,46.2,58.2
1968-09,27.3,40.3,53.3
1968-10,22.7,34.7,46.7
1968-11,7.3,17.3,27.3
1968-12,3.1,12.7,22.2
1969-01,7.4,16.8,26.1
1969-02,3.6,14.3,25.0
1969-03,0.3,13.0,25.6
1969-04,17.5,30.6,43.6
1969-05,26.3,38.8,51.2
1969-06,29.0,39.5,50.1
1969-07,38.6,51.7,64.7
1969-08,38.6,51.7,64.9
1969-09,31.4,43.7,56.1
1969-10,15.8,24.8,33.7
1969-11,9.6,19.9,30.3
1969-12,6.7,16.1,25.5
1970-01,4.8,12.2,19.7
1970-02,6.0,17.3,28.5
1970-03,3.7,14.8,25.9
1970-04,9.6,21.4,33.2
1970-05,23.6,37.4,51.1
1970-06,30.1,43.1,56.1
1970-07,37.4,50.3,63.2
1970-08,38.7,51.4,64.0
1970-09,27.8,40.0,52.2
1970-10,16.6,27.2,37.8
1970-11,12.5,21.2,29.9
1970-12,5.6,15.2,24.8
1971-01,5.3,13.2,21.1
1971-02,2.9,12.2,21.5
1971-03,5.6,16.9,28.2
1971-04,15.6,27.1,38.6
1971-05,21.8,33.6,45.4
1971-06,31.3,45.4,59.5
1971-07,36.0,48.8,61.7
1971-08,36.7,49.6,62.5
1971-09,25.8,38.3,50.8
1971-10,19.2,31.1,43.0
1971-11,10.6,20.8,31.1
1971-12,2.1,12.0,21.9
1972-01,2.2,11.5,20.8
1972-02,5.5,15.5,25.4
1972-03,13.5,24.7,35.9
1972-04,17.4,28.7,40.1
1972-05,22.3,35.0,47.6
1972-06,33.0,45.8,58.6
1972-07,36.6,49.6,62.6
1972-08,35.7,48.1,60.5
1972-09,31.4,42.1,52.7
1972-10,23.5,33.5,43.5
1972-11,6.0,15.3,24.6
1972-12,1.8,11.3,20.8
1973-01,1.2,11.6,22.0
1973-02,1.4,13.8,26.2
1973-03,5.0,16.8,28.7
1973-04,8.8,20.9,33.1
1973-05,22.0,33.3,44.5
1973-06,29.9,43.4,56.9
1973-07,36.3,48.4,60.5
1973-08,36.6,49.5,62.5
1973-09,30.6,41.1,51.7
1973-10,24.5,35.9,47.2
1973-11,14.6,22.8,31.0
1973-12,7.0,16.9,26.9
1974-01,2.4,11.1,19.8
1974-02,1.7,12.8,23.8
1974-03,11.7,22.6,33.5
1974-04,12.4,25.7,39.0
1974-05,24.7,39.1,53.6
1974-06,32.6,46.1,59.6
1974-07,38.7,51.0,63.4
1974-08,34.8,47.5,60.2
1974-09,28.1,40.4,52.7
1974-10,24.6,35.5,46.5
1974-11,9.9,20.3,30.7
1974-12,1.5,11.7,21.8
1975-01,2.0,11.8,21.6
1975-02,0.8,11.5,22.2
1975-03,7.3,18.1,29.0
1975-04,11.8,23.9,36.0
1975-05,20.0,32.1,44.2
1975-06,28.0,41.1,54.2
1975-07,35.1,49.3,63.5
1975-08,35.3,48.9,62.5
1975-09,29.0,41.8,54.6
1975-10,20.8,34.7,48.5
1975-11,8.6,19.8,31.0
1975-12,6.8,17.0,27.2
1976-01,2.1,12.9,23.6
1976-02,7.4,18.9,30.5
1976-03,4.6,17.3,30.1
1976-04,15.7,28.3,41.0
1976-05,23.4,35.4,47.4
1976-06,29.8,43.7,57.6
1976-07,37.9,51.2,64.4
1976-08,35.3,48.1,61.0
1976-09,29.9,41.8,53.7
1976-10,18.4,30.9,43.3
1976-11,9.9,20.4,30.8
1976-12,3.8,16.0,28.2
1977-01,1.4,11.3,21.2
1977-02,5.9,16.5,27.2
1977-03,5.0,16.4,27.7
1977-04,16.8,28.6,40.5
1977-05,24.0,37.2,50.3
1977-06,34.9,49.2,63.4
1977-07,37.8,51.1,64.5
1977-08,36.4,48.5,60.5
1977-09,32.1,45.4,58.8
1977-10,22.1,34.4,46.7
1977-11,13.6,22.2,30.8
1977-12,7.2,15.8,24.3
1978-01,5.3,13.3,21.4
1978-02,4.8,14.6,24.4
1978-03,12.1,23.0,33.8
1978-04,17.4,29.7,42.1
1978-05,22.0,33.6,45.3
1978-06,31.1,44.7,58.3
1978-07,36.1,51.3,66.5
1978-08,32.5,46.9,61.3
1978-09,30.6,44.0,57.5
1978-10,20.7,34.1,47.5
1978-11,12.8,22.6,32.3
1978-12,-2.2,8.4,19.1
1979-01,-4.2,5.2,14.6
1979-02,3.8,14.6,25.3
1979-03,8.4,20.0,31.6
1979-04,13.8,26.8,39.8
1979-05,21.4,33.3,45.3
1979-06,29.8,43.4,57.1
1979-07,36.6,51.1,65.7
1979-08,35.5,47.8,60.2
1979-09,30.7,45.1,59.6
1979-10,24.1,36.4,48.7
1979-11,4.6,14.6,24.6
1979-12,6.2,17.1,28.1
1980-01,3.3,12.7,22.1
1980-02,7.5,17.7,27.9
1980-03,6.5,17.5,28.6
1980-04,11.9,24.4,36.8
1980-05,22.0,33.3,44.5
1980-06,30.9,46.7,62.6
1980-07,38.8,52.9,66.9
1980-08,35.9,49.5,63.2
1980-09,31.8,44.8,57.9
1980-10,19.7,32.4,45.1
1980-11,12.6,22.8,33.0
1980-12,14.5,24.7,35.0
1981-01,7.6,19.1,30.7
1981-02,5.4,16.2,27.0
1981-03,8.2,19.9,31.5
1981-04,20.0,33.3,46.6
1981-05,23.6,34.0,44.3
1981-06,34.5,47.8,61.0
1981-07,38.5,51.1,63.6
1981-08,35.9,48.1,60.3
1981-09,32.8,45.1,57.4
1981-10,22.4,32.1,41.8
1981-11,15.5,25.8,36.1
1981-12,7.2,15.5,23.8
1982-01,2.9,12.6,22.3
1982-02,2.9,14.2,25.6
1982-03,9.5,20.5,31.6
1982-04,12.3,25.8,39.4
1982-05,22.5,33.9,45.2
1982-06,28.1,40.4,52.6
1982-07,36.4,49.5,62.7
1982-08,38.8,51.0,63.2
1982-09,31.8,42.0,52.2
1982-10,18.1,29.5,41.0
1982-11,9.0,18.9,28.8
1982-12,5.0,14.5,24.0
1983-01,7.2,17.1,26.9
1983-02,5.8,16.4,27.1
1983-03,9.1,19.0,28.9
1983-04,8.9,20.2,31.5
1983-05,19.5,30.6,41.8
1983-06,29.3,41.2,53.0
1983-07,37.1,50.4,63.7
1983-08,40.1,52.2,64.4
1983-09,32.5,45.5,58.5
1983-10,24.0,35.1,46.2
1983-11,12.1,20.6,29.0
1983-12,1.1,9.5,17.9
1984-01,1.0,10.6,20.3
1984-02,3.8,14.5,25.1
1984-03,6.6,16.5,26.3
1984-04,9.5,21.1,32.7
1984-05,24.6,37.6,50.5
1984-06,30.0,42.7,55.4
1984-07,37.8,50.7,63.7
1984-08,36.5,48.5,60.4
1984-09,29.1,41.0,52.8
1984-10,15.3,24.9,34.6
1984-11,10.1,20.8,31.5
1984-12,4.7,14.1,23.5
1985-01,-0.4,9.1,18.7
1985-02,-1.6,8.7,19.1
1985-03,6.9,18.3,29.8
1985-04,16.2,28.8,41.5
1985-05,22.4,36.0,49.5
1985-06,30.8,44.5,58.3
1985-07,35.2,48.5,61.8
1985-08,33.6,48.5,63.3
1985-09,25.3,37.7,50.0
1985-10,20.1,31.7,43.2
1985-11,8.7,16.8,24.9
1985-12,5.8,14.0,22.1
1986-01,8.3,18.6,28.9
1986-02,6.7,15.0,23.3
1986-03,12.8,24.2,35.7
1986-04,16.7,28.1,39.5
1986-05,21.8,34.2,46.7
1986-06,31.8,45.5,59.2
1986-07,35.0,48.2,61.4
1986-08,35.9,49.2,62.6
1986-09,28.3,39.5,50.6
1986-10,18.0,29.6,41.1
1986-11,11.3,20.7,30.1
1986-12,2.8,14.6,26.5
1987-01,1.6,11.9,22.1
1987-02,4.1,15.0,26.0
1987-03,4.5,16.2,27.8
1987-04,14.3,29.0,43.8
1987-05,25.7,36.8,47.9
1987-06,32.0,45.8,59.6
1987-07,35.6,49.7,63.8
1987-08,34.7,47.6,60.4
1987-09,27.5,41.2,55.0
1987-10,22.2,34.8,47.4
1987-11,10.4,22.0,33.5
1987-12,3.0,11.5,19.9
1988-01,-1.5,7.8,17.2
1988-02,3.4,14.8,26.3
1988-03,4.7,15.7,26.7
1988-04,15.0,28.2,41.3
1988-05,24.2,36.7,49.2
1988-06,34.8,48.5,62.2
1988-07,37.5,51.4,65.2
1988-08,36.6,50.4,64.1
1988-09,28.2,41.7,55.3
1988-10,25.4,37.0,48.6
1988-11,10.1,19.8,29.4
1988-12,2.4,14.1,25.9
1989-01,3.8,14.3,24.9
1989-02,1.6,12.8,24.0
1989-03,12.0,24.4,36.7
1989-04,16.2,29.3,42.5
1989-05,24.1,36.9,49.8
1989-06,30.0,42.2,54.5
1989-07,37.3,52.1,66.9
1989-08,34.9,47.9,61.0
1989-09,29.8,42.6,55.4
1989-10,21.8,32.8,43.8
1989-11,13.7,22.9,32.1
1989-12,3.5,12.8,22.1
1990-01,4.2,13.8,23.4
1990-02,4.4,15.5,26.6
1990-03,10.7,21.9,33.1
1990-04,17.5,29.2,41.0
1990-05,21.5,33.4,45.4
1990-06,34.1,47.7,61.3
1990-07,37.3,49.0,60.8
1990-08,35.8,48.9,62.0
1990-09,33.9,46.4,58.9
1990-10,22.8,32.6,42.5
1990-11,14.4,24.2,34.0
1990-12,1.3,10.8,20.3
1991-01,2.5,11.8,21.1
1991-02,9.6,20.7,31.7
1991-03,8.4,19.2,30.0
1991-04,15.1,26.3,37.6
1991-05,24.8,36.7,48.6
1991-06,33.2,45.6,58.0
1991-07,37.6,49.7,61.8
1991-08,38.2,49.8,61.3
1991-09,30.5,42.8,55.1
1991-10,23.6,34.6,45.6
1991-11,9.4,18.0,26.5
1991-12,5.8,16.2,26.6
1992-01,5.0,15.6,26.1
1992-02,8.3,19.1,30.0
1992-03,13.1,24.3,35.5
1992-04,20.6,32.3,44.1
1992-05,27.3,38.5,49.7
1992-06,30.9,42.8,54.6
1992-07,36.5,47.9,59.4
1992-08,36.0,48.2,60.5
1992-09,31.6,43.5,55.5
1992-10,25.5,36.7,47.9
1992-11,7.2,16.1,25.0
1992-12,4.3,12.9,21.6
1993-01,5.0,14.8,24.6
1993-02,4.4,14.0,23.6
1993-03,10.6,22.4,34.2
1993-04,14.4,25.8,37.2
1993-05,24.1,36.0,47.9
1993-06,30.3,42.3,54.2
1993-07,34.1,48.2,62.3
1993-08,36.4,48.0,59.5
1993-09,28.5,40.0,51.6
1993-10,21.0,30.7,40.4
1993-11,7.8,17.2,26.6
1993-12,5.2,14.8,24.4
1994-01,6.2,14.8,23.5
1994-02,4.0,13.7,23.4
1994-03,11.3,23.0,34.7
1994-04,16.0,27.7,39.4
1994-05,26.8,39.4,52.1
1994-06,35.7,49.2,62.7
1994-07,37.5,51.0,64.6
1994-08,39.4,51.9,64.4
1994-09,31.6,44.0,56.4
1994-10,22.6,31.6,40.7
1994-11,9.9,19.5,29.2
1994-12,9.9,19.6,29.2
1995-01,4.7,14.1,23.6
1995-02,11.5,21.4,31.3
1995-03,10.8,21.6,32.3
1995-04,14.5,24.8,35.2
1995-05,21.4,30.6,39.9
1995-06,30.0,41.8,53.7
1995-07,37.7,49.5,61.2
1995-08,40.5,53.2,66.0
1995-09,30.6,42.2,53.9
1995-10,22.5,31.5,40.5
1995-11,15.5,24.1,32.7
1995-12,7.7,17.1,26.4
1996-01,4.1,12.3,20.5
1996-02,7.3,17.8,28.4
1996-03,7.8,19.9,32.0
1996-04,15.9,27.3,38.7
1996-05,26.6,37.7,48.8
1996-06,33.2,46.3,59.5
1996-07,39.9,52.4,64.9
1996-08,36.9,50.5,64.2
1996-09,29.8,40.5,51.1
1996-10,22.1,32.6,43.1
1996-11,14.9,23.7,32.4
1996-12,5.8,12.6,19.4
1997-01,4.3,13.5,22.7
1997-02,2.7,14.3,25.9
1997-03,11.6,24.0,36.4
1997-04,11.0,22.4,33.7
1997-05,24.2,35.6,47.0
1997-06,33.4,45.3,57.2
1997-07,39.0,51.5,64.0
1997-08,38.7,49.3,60.0
1997-09,34.6,45.0,55.4
1997-10,22.8,33.2,43.6
1997-11,9.2,18.4,27.5
1997-12,4.8,14.3,23.8
1998-01,8.8,16.6,24.4
1998-02,6.6,16.4,26.1
1998-03,8.7,20.0,31.3
1998-04,13.2,25.3,37.4
1998-05,25.3,37.7,50.1
1998-06,30.1,41.4,52.7
1998-07,41.2,53.4,65.5
1998-08,38.6,51.0,63.3
1998-09,35.3,47.8,60.2
1998-10,23.0,32.6,42.2
1998-11,16.2,23.8,31.5
1998-12,6.3,15.2,24.2
1999-01,8.1,16.0,23.9
1999-02,8.1,18.4,28.7
1999-03,12.1,24.7,37.3
1999-04,13.0,24.0,34.9
1999-05,22.0,33.3,44.6
1999-06,31.8,43.4,55.0
1999-07,41.1,52.7,64.3
1999-08,38.5,49.8,61.1
1999-09,28.7,40.5,52.3
1999-10,23.9,35.6,47.2
1999-11,19.4,30.4,41.5
1999-12,7.3,17.2,27.0
2000-01,8.4,15.6,22.9
2000-02,10.7,20.8,30.9
2000-03,11.0,22.4,33.7
2000-04,19.0,31.2,43.3
2000-05,27.4,39.1,50.8
2000-06,33.7,46.2,58.6
2000-07,40.9,54.0,67.1
2000-08,41.2,53.9,66.7
2000-09,32.3,44.0,55.7
2000-10,23.5,34.2,44.8
2000-11,5.1,14.4,23.7
2000-12,5.7,14.3,22.9
2001-01,4.2,14.6,25.0
2001-02,7.1,16.4,25.7
2001-03,11.2,21.6,32.0
2001-04,18.7,29.9,41.2
2001-05,25.0,36.0,46.9
2001-06,32.6,47.2,61.9
2001-07,40.2,52.8,65.4
2001-08,37.5,50.7,63.8
2001-09,32.2,44.5,56.8
2001-10,24.6,34.4,44.2
2001-11,15.5,26.5,37.5
2001-12,6.2,14.9,23.5
2002-01,4.1,13.3,22.5
2002-02,1.2,13.4,25.6
2002-03,5.2,17.0,28.9
2002-04,20.2,32.2,44.2
2002-05,23.3,35.8,48.3
2002-06,35.9,50.1,64.2
2002-07,41.5,55.7,69.8
2002-08,35.9,50.4,64.9
2002-09,32.4,44.5,56.7
2002-10,19.1,30.1,41.2
2002-11,11.0,20.9,30.8
2002-12,6.6,16.3,26.0
2003-01,16.1,22.4,28.8
2003-02,2.9,13.1,23.3
2003-03,11.0,21.3,31.6
2003-04,17.2,30.2,43.1
2003-05,25.2,37.1,49.0
2003-06,31.2,43.1,55.0
2003-07,42.2,56.9,71.7
2003-08,40.2,53.0,65.9
2003-09,29.5,41.5,53.6
2003-10,27.1,38.3,49.5
2003-11,11.0,19.1,27.1
2003-12,9.9,18.5,27.2
2004-01,6.9,15.9,25.0
2004-02,2.1,14.0,25.9
2004-03,14.7,27.0,39.3
2004-04,18.0,29.3,40.5
2004-05,26.4,37.9,49.4
2004-06,31.6,43.3,55.0
2004-07,37.6,49.5,61.5
2004-08,35.3,47.7,60.0
2004-09,31.4,42.8,54.2
2004-10,24.5,33.2,41.9
2004-11,11.6,22.0,32.4
2004-12,9.2,17.1,24.9
2005-01,11.3,20.4,29.6
2005-02,6.6,18.1,29.6
2005-03,9.3,20.6,32.0
2005-04,17.5,29.5,41.5
2005-05,23.8,36.0,48.3
2005-06,32.8,44.6,56.4
2005-07,40.4,54.7,69.0
2005-08,37.7,49.3,60.9
2005-09,34.6,45.9,57.2
2005-10,26.8,36.1,45.5
2005-11,16.4,24.9,33.4
2005-12,6.0,14.4,22.7
2006-01,8.8,17.6,26.4
2006-02,6.7,15.6,24.4
2006-03,11.1,21.3,31.6
2006-04,20.9,32.4,43.8
2006-05,28.4,39.5,50.5
2006-06,36.5,49.4,62.3
2006-07,42.4,53.3,64.2
2006-08,40.6,51.0,61.4
2006-09,29.9,39.7,49.5
2006-10,23.8,31.8,39.8
2006-11,16.5,25.0,33.4
2006-12,9.1,17.8,26.4
2007-01,3.4,13.4,23.3
2007-02,9.6,18.0,26.4
2007-03,16.5,27.0,37.5
2007-04,19.0,29.0,39.0
2007-05,26.8,37.7,48.7
2007-06,35.6,47.4,59.2
2007-07,42.6,54.4,66.2
2007-08,42.7,53.0,63.4
2007-09,35.1,45.1,55.2
2007-10,25.6,35.3,45.0
2007-11,19.1,27.7,36.2
2007-12,6.5,14.3,22.2
2008-01,4.1,12.0,19.9
2008-02,7.3,16.0,24.7
2008-03,9.6,19.8,30.0
2008-04,15.2,25.8,36.4
2008-05,25.1,35.0,44.9
2008-06,33.6,45.1,56.5
2008-07,41.3,53.6,66.0
2008-08,40.4,51.1,61.9
2008-09,32.9,43.3,53.8
2008-10,26.5,35.5,44.4
2008-11,19.9,27.8,35.7
2008-12,8.0,15.8,23.6
2009-01,11.8,19.0,26.2
2009-02,13.2,20.9,28.7
2009-03,14.0,24.2,34.4
2009-04,18.2,27.8,37.3
2009-05,28.9,38.6,48.2
2009-06,34.8,44.4,54.1
2009-07,40.0,50.5,61.0
2009-08,38.1,49.8,61.4
2009-09,34.0,44.3,54.6
2009-10,19.5,27.8,36.1
2009-11,19.3,28.2,37.0
2009-12,3.1,11.5,19.9
2010-01,9.4,18.4,27.5
2010-02,5.0,14.2,23.5
2010-03,12.2,23.0,33.7
2010-04,19.4,29.0,38.7
2010-05,23.5,33.3,43.2
2010-06,36.3,47.4,58.6
2010-07,41.6,52.6,63.7
2010-08,40.5,51.2,61.9
2010-09,35.5,47.3,59.1
2010-10,27.2,35.9,44.6
2010-11,13.8,22.1,30.5
2010-12,13.6,21.2,28.9
2011-01,7.0,14.5,21.9
2011-02,3.0,12.7,22.4
2011-03,14.5,23.9,33.4
2011-04,18.3,27.2,36.1
2011-05,24.0,32.8,41.5
2011-06,33.1,45.2,57.4
2011-07,41.9,53.4,64.8
2011-08,43.0,54.1,65.3
2011-09,35.0,44.4,53.8
2011-10,26.5,34.6,42.7
2011-11,14.8,23.4,31.9
2011-12,8.0,17.4,26.9
2012-01,10.6,19.6,28.6
2012-02,5.5,15.4,25.2
2012-03,17.6,28.8,40.0
2012-04,23.7,34.5,45.3
2012-05,28.2,38.9,49.5
2012-06,39.8,52.3,64.7
2012-07,43.2,54.5,65.8
2012-08,41.1,52.8,64.4
2012-09,34.8,45.7,56.7
2012-10,25.2,33.5,41.9
2012-11,21.9,29.9,37.8
2012-12,9.8,17.3,24.9
2013-01,8.4,17.9,27.3
2013-02,7.4,16.5,25.5
2013-03,13.3,23.2,33.0
2013-04,14.1,24.6,35.1
2013-05,25.9,36.7,47.5
2013-06,36.5,49.1,61.8
2013-07,41.8,52.7,63.6
2013-08,41.2,52.1,63.0
2013-09,37.6,46.0,54.5
2013-10,23.3,31.5,39.8
2013-11,16.8,25.1,33.5
2013-12,7.8,15.3,22.8
2014-01,9.1,16.9,24.8
2014-02,9.3,17.0,24.8
2014-03,13.8,23.8,33.9
2014-04,19.0,28.9,38.7
2014-05,26.9,36.8,46.8
2014-06,34.4,46.2,58.0
2014-07,41.7,52.5,63.2
2014-08,39.3,49.0,58.7
2014-09,36.5,46.3,56.0
2014-10,29.0,37.4,45.8
2014-11,14.5,22.7,30.9
2014-12,11.7,19.4,27.2
2015-01,12.3,20.9,29.5
2015-02,11.1,20.2,29.4
2015-03,16.8,27.4,38.1
2015-04,21.0,31.0,41.0
2015-05,27.1,35.4,43.8
2015-06,38.3,49.6,60.9
2015-07,41.7,51.3,60.9
2015-08,41.3,52.5,63.6
2015-09,38.1,48.5,58.9
2015-10,30.8,39.4,47.9
2015-11,14.8,23.6,32.4
2015-12,8.4,16.2,24.1
2016-01,9.0,17.5,26.0
2016-02,13.1,21.7,30.2
2016-03,13.7,23.0,32.3
2016-04,20.2,29.9,39.5
2016-05,25.5,35.4,45.4
2016-06,38.7,51.2,63.7
2016-07,42.9,54.0,65.1
2016-08,39.3,49.8,60.4
2016-09,35.1,46.2,57.3
2016-10,30.4,38.7,46.9
2016-11,21.2,30.2,39.3
2016-12,7.4,15.5,23.7
2017-01,6.8,15.2,23.6
2017-02,15.3,23.8,32.3
2017-03,20.9,29.8,38.8
2017-04,19.5,29.8,40.0
2017-05,26.0,36.3,46.6
2017-06,36.8,48.4,60.0
2017-07,42.4,53.5,64.5
2017-08,39.3,49.8,60.3
2017-09,35.3,45.2,55.1
2017-10,24.1,33.4,42.8
2017-11,23.0,30.7,38.3
2017-12,14.0,21.7,29.3
2018-01,13.7,21.5,29.2
2018-02,9.6,17.7,25.7
2018-03,13.6,23.7,33.8
2018-04,19.5,30.0,40.5
2018-05,30.5,41.0,51.6
2018-06,39.1,51.1,63.1
2018-07,40.9,53.0,65.1
2018-08,38.8,50.5,62.3
